ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B09KT2T1Y6,"MANSCAPED® UltraPremium Deodorant, Aluminum-Free Clear Formula, Soft and Comfortable with Cologne-Quality Fragrance for Under Arm Odor Protection, 2.65 oz Stick (1 Pack)",deodorant,men,3,1197,4.3,,$12.99
B018233T04,"Therapeutic Repair Lotion with Macadamia Nut Oil and Promega-7, 16 Fl Oz Bottle- Fragrance Free, Paraben Free, Non GMO, White",lotion,women,16,17125,4.4,,$17.99
B017LJYCLK,"La Chatelaine Hand Cream Gift Set for Women, Travel Size Hand Lotion, Natural Hand Cream Made in France with 20% Organic Shea Butter (Citrus Fizz, White Grapefruit, &amp; Lavender) 3 x 1 fl. oz",lotion,women,3,3239,4.7,,$29.00
B01MCTTDJS,"OGX Extra Creamy + Coconut Miracle Oil Ultra Moisture Body Lotion with Vanilla Bean, Fast-Absorbing Lotion for All Skin Types, Paraben-Free and Sulfated-Surfactants Free, 19.5 fl oz",lotion,women,20,22074,4.6,,$11.99
B08N3GQGGZ,"Eucalyptus Body Lotion 16 oz | Herbal Stress-Relief Moisturizer for Women | Calming Arnica, Coconut Oil &amp; Mint | Aromatherapy Dry Skin Care",lotion,women,16,1540,4.3,,$14.99
B00DG8EZKO,"NIVEA Intense Healing Body Lotion, 72 Hour Moisture for Dry to Very Dry Skin, 16.9 Fl Oz Pump Bottle",lotion,women,17,23363,4.7,,$6.41
B0BGQBKGCH,"The Lotion Company 24 Hour Skin Therapy Lotion, Full Body Moisturizer, Paraben Free, Made in USA, Caramel Candy Fragrance, w/Aloe Vera, 16 Ounces",lotion,women,16,7456,4.4,,$11.77
B084TPBTXY,"Panier des Sens Provence Shea butter Body lotion for dry skin, body cream - Made in France 97% natural - 8.45 Floz/250ml",lotion,women,8,693,4.2,,$19.80
B01BRU1PVE,"NATURE WELL Clinical Retinol Advanced Moisture Cream for Face, Body, &amp; Hands, Anti Aging, Targets Discoloration, Wrinkles, Sun Damage, Crepey, &amp; Sagging Skin, 16 Oz",lotion,women,16,11741,4.5,,$18.99
B0C7WTPT64,"eos Shea Better Body Lotion- Fragrance Free, 24-Hour Hydration Skin Care, 16 fl oz",lotion,women,16,5860,4.7,,$8.98
