ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B07CZCQ481,"Amazon Basics 5-Blade MotionSphere Razor for Men with Dual Lubrication and Precision Trimmer, Handle &amp; 16 Cartridges, Cartridges fit, Razor Handles only, 17 Piece Set, Black",razors,men,16,62260,4.3,,$25.38
B07DZYGDS3,"Gillette Fusion5 Razors for Men, 1 Razor, 4 Blade Refills, Lubrastrip for a More Comfortable Shave",razors,men,1,34829,4.7,,$20.00
B001JQLNHS,"Gillette Fusion5 Razor Refills for Men, 12 Razor Blade Refills",razors,men,12,38658,4.7,,$39.99
B00D1G8XA4,"BIC Comfort 3 Refillable Three-Blade Disposable Razor for Men, Sensitive Skin Razor For a Comfortable Shave, 1 Handle and 6 Cartridges, 7 Piece Razor Set",razors,men,1,24856,4.4,,$5.43
B004B8F8MM,"Gillette Fusion5 Power Razor Blade Refills, 8 Count, Lubrastrip for a More Comfortable Shave for Men",razors,men,8,52860,4.7,,$29.99
B07RWK8Y6D,"Amazon Basics 3-Blade Motion Sphere Razor for Men with Dual Lubrication, Handle &amp; 20 Cartridges, Cartridges fit Amazon Basics Razor Handles only, 21 Piece Set, Black (Previously Solimo)",razors,men,20,7166,4.3,,$15.72
B007BF7ELA,"BIC Flex 4 Refillable Razors for Men, Long-Lasting 4 Blade Razors for Sensitive Skin, 1 Handle and 4 Cartridges, 5 Piece Shaving Kit",razors,men,1,9730,4.4,,$6.42
B07DZYGDSF,"Gillette Fusion ProGlide Razors, Men 1 Gillette Razor, 4 Razor Blade Refills, Shields Against Skin Irritation",razors,men,1,18631,4.7,,$19.99
B07C3CRB4S,Gillette Sensor2 Plus Disposable Razor (52 Pack),razors,men,52,6276,4.7,,$30.40
B08J94S65H,"Schick Xtreme 3 Original Razor — Disposable Head Razor for Sensitive Skin, 12 Count",razors,men,12,1880,4.4,,$14.97
B09NWKQGJ1,"BIC Flex 5 Refillable Razors for Men, Long-Lasting 5 Blade Razors for a Smooth and Comfortable Shave, 1 Handle and 7 Cartridges, 8 Piece Shaving Kit",razors,men,1,17668,4.6,,$12.78
B09NX77X51,"BIC Flex 5 Titanium 5-Blade Disposable Razor for Men, Sensitive Skin Razor For a Smooth, Comfortable and Close Shave, 4 Piece Razor Set",razors,men,4,4040,4.7,,$10.92
B0B195LFHX,"Harry&#x27;s Men&#x27;s Disposable Razors, 3-Blade Razors with Lubricating Strip and Pivoting Head, 10 count",razors,men,10,864,4.1,,$9.67
B01N97PCBH,"Fructis Pure Clean Purifying Shampoo, Silicone-Free, 12.5 Fl Oz, 1 Count (Packaging May Vary)",shampoo,women,12,20368,4.5,,$3.47
