ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B000I3NC40,"Tea Tree Special Shampoo, 128 Fl Oz",shampoo,men,1228,4.8,,97.0,
B01M7R4XW0,"Aussie Total Miracle Shampoo, 30.4 Fluid Ounce, Pack of 4",shampoo,men,1217,4.8,,34.76,
B0845D26Y9,DOVE MEN + CARE Fortifying 2-in-1 Shampoo and Conditioner Thick and Strong with Caffeine 4 Count for Resilient and Thicker Hair Strengthens Thinning Hair 25.4 oz,shampoo,men,1113,4.8,,32.58,
B003H2AU76,"Finesse Restore + Strengthen Moisturizing Shampoo, 13 oz (Pack of 6), Moisturize & Repair Dry or Damaged Hair for Soft, Healthy Looking Hair",shampoo,men,1078,4.8,,14.94,
B00E8J36FU,"DHS Zinc Shampoo, 16 Oz (Pack of 2)",shampoo,men,994,4.8,,,
B09GTX9Y52,"Pantene 2-in-1 Shampoo and Conditioner Twin Pack with Hair Treatment Set, Classic Clean, 1 Set",shampoo,men,953,4.8,,19.6,
B08DJWPCJZ,Nioxin System 2 for Natural Hair with Progressed Thinning Cleanser Shampoo and Scalp Therapy Conditioner,shampoo,men,937,4.8,,93.0,
B097LMPG7C,"Hydra Source Shampoo & Conditioning Balm Set | Hair Repair | Hydrates & Moisturizes Hair | For Dry, Damaged Hair | Paraben & Silicone-Free | Vegan",shampoo,men,745,4.8,,48.0,
B076BS5XVN,Pantene Sheer Volume 2 in 1 Shampoo & Conditioner 12.6 Fl Oz (Pack of 4),shampoo,men,731,4.8,,40.44,
B0BHJK1CHG,"Scotch Porter Hydrating Hair Wash for Men | Gentle Shampoo Promotes Softness, Shine & Scalp Health | Formulated with Non-Toxic Ingredients, Free of Parabens, Sulfates & Silicones | Vegan | 13oz",shampoo,men,63,4.9,,11.97,
B01MRVJ8HF,"Dove Nutritive Solutions Shampoo for Damaged Hair with Pump Intensive Repair Dry Hair Shampoo Formula with Keratin Actives 31 oz, Pack of 4",shampoo,men,505,4.8,,33.84,
